CountryCode,Year,HRWK,AVWAGE,CPI,FERTILITY
AUS,1991,1854,42309.38148,3.176675,1.85
AUS,1992,1846,43173.77133,1.012231,1.89
AUS,1993,1856,43578.24142,1.753653,1.86
AUS,1994,1874,43873.85695,1.969635,1.84
AUS,1995,1870,43715,4.627767,1.82
AUS,1996,1862,44976.27559,2.615385,1.8
AUS,1997,1861,46355.55509,0.2248875,1.78
AUS,1998,1850,46999.6351,0.8601346,1.76
AUS,1999,1856,48064.87024,1.483129,1.76
AUS,2000,1852,48213.08868,4.457435,1.76
AUS,2001,1829,48693.3023,4.407135,1.73
AUS,2002,1818,49140.63129,2.981575,1.77
AUS,2003,1807,49849.37515,2.732596,1.77
AUS,2004,1811,51414.31839,2.343255,1.78
AUS,2005,1808,52013.93975,2.691832,1.85
AUS,2006,1802,52368,3.555288,1.88
AUS,2007,1803,53805,2.327611,1.99
AUS,2008,1799,54149,4.350298,2.02
AUS,2009,1767,53644,1.771117,1.97
AUS,2010,1778,55536,2.91834,1.95
AUS,2011,1774,57361,3.30385,1.92
AUS,2012,1771,57752,1.76278,1.93
AUS,2013,1766,57579,2.449889,1.88
AUS,2014,1755,58102,2.487923,1.79
AUS,2015,1751,57744,1.508367,1.79
AUS,2016,1739,57885,1.276991,1.79
AUS,2017,1738.82731,57619,1.948647,1.74
AUS,2018,1733.139979,57843,1.911401,1.74
AUS,2019,1722.925469,58620,1.610768,1.67
AUS,2020,1683.851538,60377,0.8469055,1.59
AUT,1999,1674.598937,57354.89958,0.5689865,1.34
AUT,2000,1675.028173,57529.01747,2.344868,1.36
AUT,2001,1662.908966,57344.65956,2.65,1.33
AUT,2002,1660.513257,58229.16778,1.810359,1.39
AUT,2003,1652.251815,58368.87321,1.355554,1.38
AUT,2004,1654.569079,59473.25479,2.061207,1.42
AUT,2005,1632.237798,59801.36993,2.299138,1.41
AUT,2006,1616.572117,60698,1.441547,1.41
AUT,2007,1606.428996,61047,2.168556,1.39
AUT,2008,1599.365355,62081,3.215951,1.42
AUT,2009,1558.272768,63135,0.5063094,1.4
AUT,2010,1551.537719,62831,1.813532,1.44
AUT,2011,1556.980646,62159,3.286583,1.43
AUT,2012,1534.781225,62515,2.485675,1.44
AUT,2013,1520.079119,62568,2.000158,1.44
AUT,2014,1510.297871,62801,1.605806,1.46
AUT,2015,1495.130107,63231,0.8965653,1.49
AUT,2016,1507.173096,63860,0.8915924,1.53
AUT,2017,1497.904325,63856,2.081269,1.52
AUT,2018,1501.7403,64101,1.998382,1.48
AUT,2019,1509.59166,64623,1.530896,1.46
AUT,2020,1400.786923,64648,1.381909,1.44
AUT,2021,1439.09392,65402.3163,2.766667,1.48
